Competitor,Product_Name,Price,Width_cm,Height_cm,Area_cm2,Price_per_Volume,Thickness_cm,product_category,Size_Info,Option1,Option2,Option3
크림하우스,크림하우스 폴더매트 280x210,369000.0,280,210,58800,62755.10204081633,0,폴더매트,280x210,매트 단품,280x210,버터크림
크림하우스,크림하우스 폴더매트 280x210,369000.0,280,210,58800,62755.10204081633,0,폴더매트,280x210,매트 단품,280x210,아보카도크림
크림하우스,크림하우스 폴더매트 280x210,369000.0,280,210,58800,62755.10204081633,0,폴더매트,280x210,매트 단품,280x210,모카크림
크림하우스,크림하우스 폴더매트 280x250,429000.0,280,250,70000,61285.71428571428,0,폴더매트,280x250,매트 단품,280x250,버터크림
크림하우스,크림하우스 폴더매트 280x250,429000.0,280,250,70000,61285.71428571428,0,폴더매트,280x250,매트 단품,280x250,아보카도크림
크림하우스,크림하우스 폴더매트 280x250,429000.0,280,250,70000,61285.71428571428,0,폴더매트,280x250,매트 단품,280x250,모카크림
크림하우스,크림하우스 폴더매트 280x310,499000.0,280,310,86800,57488.479262672816,0,폴더매트,280x310,매트 단품,280x310,버터크림
크림하우스,크림하우스 폴더매트 280x310,499000.0,280,310,86800,57488.479262672816,0,폴더매트,280x310,매트 단품,280x310,아보카도크림
크림하우스,크림하우스 폴더매트 280x310,499000.0,280,310,86800,57488.479262672816,0,폴더매트,280x310,매트 단품,280x310,모카크림
크림하우스,크림하우스 폴더매트 280x350,559000.0,280,350,98000,57040.81632653061,0,폴더매트,280x350,매트 단품,280x350,버터크림
크림하우스,크림하우스 폴더매트 280x350,559000.0,280,350,98000,57040.81632653061,0,폴더매트,280x350,매트 단품,280x350,아보카도크림
크림하우스,크림하우스 폴더매트 280x350,559000.0,280,350,98000,57040.81632653061,0,폴더매트,280x350,매트 단품,280x350,모카크림
리포소홈,리포소홈 폴더매트 200x240,189000.0,200,240,48000,39375.0,0,폴더매트,200x240,빅매트,아이보리,200 X 240
리포소홈,리포소홈 폴더매트 200x280,199000.0,200,280,56000,35535.71428571429,0,폴더매트,200x280,빅매트,아이보리,200 X 280
리포소홈,리포소홈 폴더매트 240x280,249000.0,240,280,67200,37053.57142857143,0,폴더매트,240x280,빅매트,아이보리,240 X 280
리포소홈,리포소홈 폴더매트 280x300,299000.0,280,300,84000,35595.23809523809,0,폴더매트,280x300,빅매트,아이보리,280 X 300
리포소홈,리포소홈 폴더매트 200x240,189000.0,200,240,48000,39375.0,0,폴더매트,200x240,빅매트,크림베이지,200 X 240
리포소홈,리포소홈 폴더매트 200x280,199000.0,200,280,56000,35535.71428571429,0,폴더매트,200x280,빅매트,크림베이지,200 X 280
리포소홈,리포소홈 폴더매트 240x280,249000.0,240,280,67200,37053.57142857143,0,폴더매트,240x280,빅매트,크림베이지,240 X 280
리포소홈,리포소홈 폴더매트 280x300,299000.0,280,300,84000,35595.23809523809,0,폴더매트,280x300,빅매트,크림베이지,280 X 300
리포소홈,리포소홈 폴더매트 70x160,52500.0,70,160,11200,46874.99999999999,0,폴더매트,70x160,원매트,아이보리,70 X 160
리포소홈,리포소홈 폴더매트 120x160,72500.0,120,160,19200,37760.41666666667,0,폴더매트,120x160,원매트,아이보리,120 X 160
리포소홈,리포소홈 폴더매트 140x200,95500.0,140,200,28000,34107.14285714286,0,폴더매트,140x200,원매트,아이보리,140 X 200
리포소홈,리포소홈 폴더매트 140x240,113000.0,140,240,33600,33630.95238095238,0,폴더매트,140x240,원매트,아이보리,140 X 240
리포소홈,리포소홈 폴더매트 70x160,52500.0,70,160,11200,46874.99999999999,0,폴더매트,70x160,원매트,크림베이지,70 X 160
리포소홈,리포소홈 폴더매트 120x160,72500.0,120,160,19200,37760.41666666667,0,폴더매트,120x160,원매트,크림베이지,120 X 160
리포소홈,리포소홈 폴더매트 140x200,95500.0,140,200,28000,34107.14285714286,0,폴더매트,140x200,원매트,크림베이지,140 X 200
리포소홈,리포소홈 폴더매트 140x240,113000.0,140,240,33600,33630.95238095238,0,폴더매트,140x240,원매트,크림베이지,140 X 240
리포소홈,리포소홈 폴더매트 70x160,53600.0,70,160,11200,47857.142857142855,0,폴더매트,70x160,4단 폴더매트,아이보리(단색),70 X 160
리포소홈,리포소홈 폴더매트 120x160,78200.0,120,160,19200,40729.16666666667,0,폴더매트,120x160,4단 폴더매트,아이보리(단색),120 X 160
리포소홈,리포소홈 폴더매트 140x200,102900.0,140,200,28000,36750.0,0,폴더매트,140x200,4단 폴더매트,아이보리(단색),140 X 200
리포소홈,리포소홈 폴더매트 140x240,118800.0,140,240,33600,35357.142857142855,0,폴더매트,140x240,4단 폴더매트,아이보리(단색),140 X 240
리포소홈,리포소홈 폴더매트 70x160,53600.0,70,160,11200,47857.142857142855,0,폴더매트,70x160,4단 폴더매트,아이보리+베이지(배색),70 X 160
리포소홈,리포소홈 폴더매트 120x160,78200.0,120,160,19200,40729.16666666667,0,폴더매트,120x160,4단 폴더매트,아이보리+베이지(배색),120 X 160
리포소홈,리포소홈 폴더매트 140x200,102900.0,140,200,28000,36750.0,0,폴더매트,140x200,4단 폴더매트,아이보리+베이지(배색),140 X 200
리포소홈,리포소홈 폴더매트 140x240,118800.0,140,240,33600,35357.142857142855,0,폴더매트,140x240,4단 폴더매트,아이보리+베이지(배색),140 X 240 (품절)
리포소홈,리포소홈 폴더매트 40x70,44500.0,40,70,2800,158928.57142857142,0,폴더매트,40x70,틈새 폴더매트,아이보리,40 X 70
리포소홈,리포소홈 폴더매트 40x120,57500.0,40,120,4800,119791.66666666667,0,폴더매트,40x120,틈새 폴더매트,아이보리,40 X 120
리포소홈,리포소홈 폴더매트 40x140,61500.0,40,140,5600,109821.42857142857,0,폴더매트,40x140,틈새 폴더매트,아이보리,40 X 140
